nummer1,levnummer,levnaam,bonnrlev,periode,datum,fk,prdkode,prdomschr,aantal,eenheid,stukprijs,btwperc,lotnr,vervaldat,bonnr_lev
256166,"2074","Smilde Bakery nv"," 011220-58687",11,01-12-2025," ","","bestelbonnr: 237972",0.00,"",0.00,0.0,"",-  -,"AF"
256166,"2074","Smilde Bakery nv"," 011220-58687",11,01-12-2025," ","","",0.00,"",0.00,0.0,"",-  -,"AF"
256166,"2074","Smilde Bakery nv"," 011220-58687",11,01-12-2025," ","72049","Roomhoorn gele room 90gr Groot",5.00,"KART",36.67,0.0,"1111",26-07-2026,"AF"
256166,"2074","Smilde Bakery nv"," 011220-58687",11,01-12-2025," ","11772","Frikandelbroodje speciaal 1177",8.00,"KART",31.65,0.0,"0000011772256166",30-06-2026,"AF"
256166,"2074","Smilde Bakery nv"," 011220-58687",11,01-12-2025," ","72057","Mini mix assortiment Luxe geba",0.00,"KART",24.73,0.0,"",-  -,"AF"
256166,"2074","Smilde Bakery nv"," 011220-58687",11,01-12-2025," ","72028","Mini Eclair ARTISAN 25gr 90093",98.00,"KART",26.33,0.0,"0000072028256166",02-10-2026,"AF"
256166,"2074","Smilde Bakery nv"," 011220-58687",11,01-12-2025," ","94550","Bladerdeeg appeltaartje 105g",24.00,"KART",20.85,0.0,"0000094550256166",03-02-2027,"AF"
256166,"2074","Smilde Bakery nv"," 011220-58687",11,01-12-2025," ","72023","Mini Zwaantje 25g 90089",7.00,"KART",28.13,0.0,"0000072023256166",09-07-2026,"AF"
256166,"2074","Smilde Bakery nv"," 011220-58687",11,01-12-2025," ","72025","Mini Roomhoorntje met gele roo",14.00,"KART",25.99,0.0,"0000072025256166",09-07-2026,"AF"
256166,"2074","Smilde Bakery nv"," 011220-58687",11,01-12-2025," ","90500","Mini soes assortiment 90500",0.00,"KART",21.69,0.0,"",-  -,"AF"
256166,"2074","Smilde Bakery nv"," 011220-58687",11,01-12-2025," ","72026","Mini berlijnse bol gele room 7",98.00,"KART",27.39,0.0,"0000072026256166",05-09-2026,"AF"
256166,"2074","Smilde Bakery nv"," 011220-58687",11,01-12-2025," ","","graag bevestiging aub",0.00,"",0.00,0.0,"",-  -,"AF"
256166,"2074","Smilde Bakery nv"," 011220-58687",11,01-12-2025," ","","Bedankt !!",0.00,"",0.00,0.0,"",-  -,"AF"
256167,"02599","Lotjans(2%)"," 011220-60769",11,01-12-2025," ","","bestelbonnr: 238022",0.00,"",0.00,0.0,"",-  -,"AF"
256167,"02599","Lotjans(2%)"," 011220-60769",11,01-12-2025," ","","",0.00,"",0.00,0.0,"",-  -,"AF"
256167,"02599","Lotjans(2%)"," 011220-60769",11,01-12-2025," ","10155","VERS Glutenvrij Achiel klein b",2.00,"VE",2.76,0.0,"1111",07-12-2025,"AF"
256167,"02599","Lotjans(2%)"," 011220-60769",11,01-12-2025," ","10157","VERS Glutenvrij Lydia blok kle",2.00,"VE",2.86,0.0,"1111",07-12-2025,"AF"
256167,"02599","Lotjans(2%)"," 011220-60769",11,01-12-2025," ","10165","VERS Glutenvrij Rozijnenbrood",3.00,"VE",4.25,0.0,"1111",07-12-2025,"AF"
256167,"02599","Lotjans(2%)"," 011220-60769",11,01-12-2025," ","88852","VERS Glutenvrij Pistolet pakke",2.00,"VE",4.39,0.0,"1111",07-12-2025,"AF"
256167,"02599","Lotjans(2%)"," 011220-60769",11,01-12-2025," ","88853","VERS Glutenvrij Donker pistole",2.00,"VE",4.73,0.0,"1111",07-12-2025,"AF"
256167,"02599","Lotjans(2%)"," 011220-60769",11,01-12-2025," ","28215","VERS Glutenvrij Chocoladekoek",1.00,"VE",2.79,0.0,"1111",07-12-2025,"AF"
256167,"02599","Lotjans(2%)"," 011220-60769",11,01-12-2025," ","28213","VERS Glutenvrij Lange Suisse 2",1.00,"VE",2.79,0.0,"1111",07-12-2025,"AF"
256167,"02599","Lotjans(2%)"," 011220-60769",11,01-12-2025," ","28218","VERS Glutenvrij Sofietjes 2 st",2.00,"VE",2.79,0.0,"1111",07-12-2025,"AF"
256167,"02599","Lotjans(2%)"," 011220-60769",11,01-12-2025," ","28220","VERS Glutenvrij Frangipanetaar",3.00,"VE",4.69,0.0,"1111",07-12-2025,"AF"
256167,"02599","Lotjans(2%)"," 011220-60769",11,01-12-2025," ","28206","VERS Glutenvrij Bokkepoten 200",2.00,"VE",3.85,0.0,"1111",07-12-2025,"AF"
256167,"02599","Lotjans(2%)"," 011220-60769",11,01-12-2025," ","28201","VERS Glutenvrij Spiegeltjes",2.00,"VE",3.85,0.0,"1111",07-12-2025,"AF"
