nummer1,klantnummer,klantnaam,periode,datum,fk,prdkode,prdomschr,totaal,tnetto,aantal,eenheid,stukprijs,btwperc,lotnr,vervaldat,factuurregime,betaald_kas,lijnperc,lijntotnetto
260001,"1690","Peter en Isabel Slagerij",1,02-01-2026," ","","",312.28,294.60,0.00,"",0.00,0.0,"",-  -,3,0.00,0,0.00
260001,"1690","Peter en Isabel Slagerij",1,02-01-2026," ","","Bestelbon 631639/18-12-2025/Be",312.28,294.60,0.00,"",0.00,0.0,"",-  -,3,0.00,0,0.00
260001,"1690","Peter en Isabel Slagerij",1,02-01-2026," ","","",312.28,294.60,0.00,"",0.00,0.0,"",-  -,3,0.00,0,0.00
260001,"1690","Peter en Isabel Slagerij",1,02-01-2026," ","","bestelproduct",312.28,294.60,0.00,"",0.00,0.0,"",-  -,3,0.00,0,0.00
260001,"1690","Peter en Isabel Slagerij",1,02-01-2026," ","10869","Pauwels mayo traiteur 9 5kg",312.28,294.60,12.00,"VE",24.55,6.0,"",-  -,3,0.00,0,294.60
260001,"1690","Peter en Isabel Slagerij",1,02-01-2026," ","","pknm: Lars",312.28,294.60,0.00,"",0.00,0.0,"",-  -,3,0.00,0,0.00
260001,"1690","Peter en Isabel Slagerij",1,02-01-2026," ","","Pk30-1217:08 M1",312.28,294.60,0.00,"",0.00,0.0,"",-  -,3,0.00,0,0.00
260002,"000873","Chicken Masters",1,02-01-2026," ","","",381.60,360.00,0.00,"",0.00,0.0,"",-  -,3,0.00,0,0.00
260002,"000873","Chicken Masters",1,02-01-2026," ","","Bestelbon 634479/29-12-2025/Ca",381.60,360.00,0.00,"",0.00,0.0,"",-  -,3,0.00,0,0.00
260002,"000873","Chicken Masters",1,02-01-2026," ","","",381.60,360.00,0.00,"",0.00,0.0,"",-  -,3,0.00,0,0.00
260002,"000873","Chicken Masters",1,02-01-2026," ","30047","Cuisette Zongedroogde Tomaten",381.60,360.00,50.00,"KG",7.20,6.0,"0000030047255465",05-09-2027,3,0.00,0,360.00
260002,"000873","Chicken Masters",1,02-01-2026," ","","pknm: Giel-Jan",381.60,360.00,0.00,"",0.00,0.0,"",-  -,3,0.00,0,0.00
260002,"000873","Chicken Masters",1,02-01-2026," ","","plnm: 12301342Giel-Jan",381.60,360.00,0.00,"",0.00,0.0,"",-  -,3,0.00,0,0.00
260002,"000873","Chicken Masters",1,02-01-2026," ","","Pk30-1217:08 M1",381.60,360.00,0.00,"",0.00,0.0,"",-  -,3,0.00,0,0.00
260003,"004489","De Afspanning",1,02-01-2026," ","","",1778.69,1678.01,0.00,"",0.00,0.0,"",-  -,3,0.00,0,0.00
260003,"004489","De Afspanning",1,02-01-2026," ","","Bestelbon 629530/12-12-2025/Be",1778.69,1678.01,0.00,"",0.00,0.0,"",-  -,3,0.00,0,0.00
