reknr,omschr,debet,credit,afsluiten,afgesloten,btwkode,grootboek,apko,kode,debeta,credita,debetper,creditper,fiche,omschrfr,omschrde,omschren,marge,wagenpark
"10","KAPITAAL",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"11","UITGIFTEPREMIES",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"12","HERWAARDERINGSMEERWAARDEN",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"13","RESERVES",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"14","OVERGEDRAGEN WINST/VERLIES",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"15","KAPITAALSUBSIDIES",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"16","VOORZIENINGEN VOOR RISICO'S EN KOSTEN",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"17","SCHULDEN OP MEER DAN 1 JAAR",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"18","VERBINDINGSREKENING",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"19","",0.0000,0.0000,"",F," "," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"20","OPRICHTINGSKOSTEN",0.0000,0.0000,"",F,"B"," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"21","IMMATERIELE VASTE ACTIVA",0.0000,0.0000,"",F,"B"," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"22","TERREINEN EN GEBOUWEN",0.0000,0.0000,"",F,"B"," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"23","INSTALLATIES, MACHINES EN UITRUSTING",0.0000,0.0000,"",F,"B"," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"24","MEUBILAIR EN ROLLEND MATERIEEL",0.0000,0.0000,"",F,"B"," ","S","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
